state,year,electricity_consumption_kwh,carbon_emission_kg,population,gdp_per_capita
Himachal Pradesh,2023,2896.87,1027.75,7139867,182856
Himachal Pradesh,2024,2882.04,1008.66,7225546,195525
Himachal Pradesh,2025,3052.5,1093.73,7312252,209016
Himachal Pradesh,2026,3304.26,1133.77,7400000,220000
Jammu and Kashmir,2017,1719.15,861.22,12574867,74277
Jammu and Kashmir,2018,1823.96,903.42,12725766,79259
Jammu and Kashmir,2019,1860.41,922.6,12878475,75747
Jammu and Kashmir,2020,1882.28,950.81,13033016,80119
Jammu and Kashmir,2021,2064.47,1030.92,13189413,86642
Jammu and Kashmir,2022,2009.6,996.77,13347686,93851
Jammu and Kashmir,2023,2212.07,1132.91,13507858,102020
Jammu and Kashmir,2024,2214.17,1090.44,13669952,107101
Jammu and Kashmir,2025,2330.94,1160.11,13833992,112972
Jammu and Kashmir,2026,2396.89,1203.26,14000000,120000
Jharkhand,2017,1201.98,1254.37,35029988,56695
Jharkhand,2018,1311.39,1392.66,35450348,54944
Jharkhand,2019,1263.23,1374.82,35875752,60557
Jharkhand,2020,1394.42,1466.1,36306261,65785
Jharkhand,2021,1489.81,1601.38,36741936,65126
Jharkhand,2022,1503.95,1593.08,37182839,73127
Jharkhand,2023,1593.97,1699.65,37629034,75467
Jharkhand,2024,1617.95,1723.0,38080582,79151
Jharkhand,2025,1667.61,1692.41,38537549,85225
Jharkhand,2026,1705.13,1790.82,39000000,90000
Karnataka,2017,2385.39,1194.41,60179723,173867
Karnataka,2018,2523.8,1272.67,60901880,192981
Karnataka,2019,2628.55,1338.86,61632703,198638
Karnataka,2020,2503.74,1259.45,62372295,216053
Karnataka,2021,2860.48,1438.87,63120763,216376
Karnataka,2022,2942.46,1461.42,63878212,244012
Karnataka,2023,3056.16,1550.4,64644750,249884
Karnataka,2024,2971.94,1492.23,65420487,268560
Karnataka,2025,3246.56,1643.63,66205533,283549
Karnataka,2026,3369.7,1751.66,67000000,300000
Kerala,2017,1884.99,1045.92,31437169,137769
Kerala,2018,1749.05,945.53,31814415,154349
Kerala,2019,1879.18,1035.1,32196188,157212
Kerala,2020,2044.01,1133.04,32582542,178269
Kerala,2021,2129.94,1161.23,32973532,195795
Kerala,2022,2161.67,1147.53,33369215,191871
Kerala,2023,2265.36,1230.65,33769645,210474
Kerala,2024,2254.22,1237.05,34174881,225241
Kerala,2025,2423.55,1329.81,34584980,236463
Kerala,2026,2435.91,1350.13,35000000,250000
Ladakh,2017,1416.31,706.41,269461,97960
Ladakh,2018,1413.79,708.48,272694,108762
Ladakh,2019,1535.38,769.48,275967,124717
Ladakh,2020,1705.2,838.44,279278,133315
Ladakh,2021,1636.65,785.68,282630,135261
Ladakh,2022,1662.87,833.98,286021,146051
Ladakh,2023,1732.74,873.23,289454,153110
Ladakh,2024,1819.39,908.75,292927,162298
Ladakh,2025,1909.11,954.98,296442,170707
Ladakh,2026,2003.95,1000.02,300000,180000
Lakshadweep,2017,535.51,480.3,58383,123670
Lakshadweep,2018,561.59,507.35,59083,127447
Lakshadweep,2019,580.05,514.7,59792,126252
Lakshadweep,2020,628.36,580.49,60510,134884
Lakshadweep,2021,619.29,550.54,61236,151159
Lakshadweep,2022,683.99,602.54,61971,159506
Lakshadweep,2023,679.8,606.82,62715,163732
Lakshadweep,2024,744.75,669.96,63467,176002
Lakshadweep,2025,801.33,728.47,64229,189545
Lakshadweep,2026,779.38,702.5,65000,200000
Madhya Pradesh,2017,1386.84,1258.49,76347410,82107
Madhya Pradesh,2018,1366.65,1239.71,77263579,94599
Madhya Pradesh,2019,1567.35,1443.85,78190742,91104
Madhya Pradesh,2020,1564.19,1424.8,79129031,100010
Madhya Pradesh,2021,1577.31,1423.81,80078579,103604
Madhya Pradesh,2022,1631.36,1450.64,81039522,112109
Madhya Pradesh,2023,1732.01,1517.81,82011997,117706
Madhya Pradesh,2024,1797.02,1621.66,82996141,125951
Madhya Pradesh,2025,1914.39,1683.69,83992094,133203
Madhya Pradesh,2026,1892.31,1728.3,85000000,140000
Maharashtra,2017,2171.42,1836.44,112275604,142164
Maharashtra,2018,2031.98,1716.81,113622911,143519
Maharashtra,2019,2120.94,1827.93,114986386,157724
Maharashtra,2020,2295.25,1944.34,116366222,168390
Maharashtra,2021,2402.79,2061.32,117762617,176679
Maharashtra,2022,2480.95,2128.83,119175769,190254
Maharashtra,2023,2714.82,2312.23,120605878,206919
Maharashtra,2024,2760.12,2338.6,122053148,209852
Maharashtra,2025,2914.31,2474.18,123517786,224953
Maharashtra,2026,2906.04,2488.7,125000000,240000
Manipur,2017,974.44,595.87,2694614,54129
Manipur,2018,1041.07,606.56,2726949,57052
Manipur,2019,1060.72,639.13,2759673,62222
Manipur,2020,1107.77,665.13,2792789,64750
Manipur,2021,1099.86,653.15,2826302,71650
Manipur,2022,1182.6,712.9,2860218,72561
Manipur,2023,1155.09,674.77,2894541,78701
Manipur,2024,1262.48,748.34,2929275,85233
Manipur,2025,1267.05,746.46,2964426,89320
Manipur,2026,1365.47,809.14,3000000,95000
Meghalaya,2017,1826.27,904.04,2964075,62644
Meghalaya,2018,1864.29,954.81,2999644,62621
Meghalaya,2019,2043.25,1012.45,3035640,69326
Meghalaya,2020,2024.51,1009.7,3072068,66866
Meghalaya,2021,2108.5,1035.69,3108933,72932
Meghalaya,2022,2266.45,1126.82,3146240,80878
Meghalaya,2023,2514.99,1275.18,3183995,83582
Meghalaya,2024,2485.28,1253.52,3222203,90257
Meghalaya,2025,2592.78,1317.46,3260869,94249
Meghalaya,2026,2594.83,1272.95,3300000,100000
Mizoram,2017,1329.79,731.29,1077845,124156
Mizoram,2018,1322.15,717.69,1090779,123746
Mizoram,2019,1503.23,812.74,1103869,131862
Mizoram,2020,1617.15,893.51,1117115,138489
Mizoram,2021,1616.52,898.62,1130521,144789
Mizoram,2022,1729.09,972.85,1144087,155433
Mizoram,2023,1800.27,977.77,1157816,165630
Mizoram,2024,1897.11,1049.68,1171710,177949
Mizoram,2025,1988.12,1069.04,1185770,186982
Mizoram,2026,2055.29,1107.51,1200000,200000
Nagaland,2017,719.52,429.11,1976050,82287
Nagaland,2018,751.32,441.04,1999763,82314
Nagaland,2019,842.47,508.58,2023760,98600
Nagaland,2020,849.14,510.82,2048045,97781
Nagaland,2021,877.76,527.67,2072622,101025
Nagaland,2022,895.79,533.23,2097493,114963
Nagaland,2023,969.95,564.2,2122663,115766
Nagaland,2024,954.23,569.05,2148135,122295
Nagaland,2025,1010.87,604.9,2173913,131345
Nagaland,2026,1103.48,675.1,2200000,140000
Odisha,2017,1677.9,1731.48,39521012,82368
Odisha,2018,1833.48,1973.09,39995264,97382
Odisha,2019,1882.62,1970.63,40475207,103390
Odisha,2020,2077.92,2174.31,40960910,107332
Odisha,2021,2076.33,2179.2,41452441,115474
Odisha,2022,2184.1,2318.16,41949870,115772
Odisha,2023,2224.69,2347.25,42453269,129335
Odisha,2024,2420.94,2560.72,42962708,133593
Odisha,2025,2524.81,2620.93,43478260,141696
Odisha,2026,2559.64,2687.05,44000000,150000
Puducherry,2017,3133.63,2862.39,1437127,143140
Puducherry,2018,3385.73,3015.7,1454373,151036
Puducherry,2019,3381.91,2993.79,1471825,152224
Puducherry,2020,3405.09,3038.33,1489487,176959
Puducherry,2021,3884.53,3494.89,1507361,175955
Puducherry,2022,3713.58,3344.11,1525449,192261
Puducherry,2023,4020.32,3578.57,1543755,205757
Puducherry,2024,4195.43,3811.19,1562280,216037
Puducherry,2025,4341.7,3860.72,1581027,225536
Puducherry,2026,4642.23,4200.44,1600000,240000
Punjab,2017,2723.84,2491.5,26946144,101011
Punjab,2018,3107.35,2836.47,27269498,107668
Punjab,2019,3118.72,2898.74,27596732,116112
Punjab,2020,3259.67,2910.41,27927893,122810
Punjab,2021,3504.59,3149.56,28263028,131759
Punjab,2022,3463.69,3143.71,28602184,140654
Punjab,2023,3785.66,3401.43,28945410,149205
Punjab,2024,3624.66,3218.08,29292755,160982
Punjab,2025,3802.39,3524.9,29644268,169093
Punjab,2026,3985.94,3556.53,30000000,180000
Rajasthan,2017,1676.58,1562.8,72754591,92614
Rajasthan,2018,1790.02,1683.03,73627646,94398
Rajasthan,2019,1976.7,1869.65,74511178,106518
Rajasthan,2020,2019.76,1949.35,75405312,112605
Rajasthan,2021,2039.36,1946.67,76310176,120797
Rajasthan,2022,2131.0,1986.62,77225898,128421
Rajasthan,2023,2150.56,2034.68,78152609,137635
Rajasthan,2024,2264.75,2159.72,79090440,140648
Rajasthan,2025,2475.04,2302.19,80039525,150357
Rajasthan,2026,2587.75,2503.44,81000000,160000
Sikkim,2017,1896.77,580.12,628743,289191
Sikkim,2018,2109.35,627.58,636288,348910
Sikkim,2019,2127.33,628.29,643923,326646
Sikkim,2020,2239.6,671.97,651650,381518
Sikkim,2021,2251.88,680.15,659470,375364
Sikkim,2022,2328.38,729.29,667384,406742
Sikkim,2023,2518.74,762.92,675392,432344
Sikkim,2024,2613.72,776.46,683497,463782
Sikkim,2025,2762.01,817.2,691699,487456
Sikkim,2026,2861.54,884.26,700000,520000
Tamil Nadu,2017,2377.84,1666.17,69161772,148579
Tamil Nadu,2018,2511.61,1775.75,69991713,165393
Tamil Nadu,2019,2721.67,1913.65,70831613,175866
Tamil Nadu,2020,2786.16,1942.93,71681593,184366
Tamil Nadu,2021,2991.42,2105.16,72541772,203594
Tamil Nadu,2022,3195.22,2255.78,73412273,209684
Tamil Nadu,2023,3271.43,2281.02,74293220,231641
Tamil Nadu,2024,3277.35,2237.58,75184739,238536
Tamil Nadu,2025,3407.19,2374.17,76086956,255328
Tamil Nadu,2026,3672.38,2543.67,77000000,270000
Telangana,2017,2691.25,2530.49,34131783,172546
Telangana,2018,2949.96,2801.62,34541365,199222
Telangana,2019,3239.15,2993.0,34955861,205255
Telangana,2020,3256.19,3120.08,35375331,213218
Telangana,2021,3255.18,3110.61,35799835,222539
Telangana,2022,3600.97,3449.3,36229433,253076
Telangana,2023,3612.02,3380.76,36664186,263142
Telangana,2024,3651.54,3489.61,37104157,274754
Telangana,2025,3932.28,3646.75,37549407,294554
Telangana,2026,4081.7,3909.67,38000000,310000
Tripura,2017,740.21,583.84,3682639,86371
Tripura,2018,770.34,615.58,3726831,87175
Tripura,2019,870.91,698.18,3771553,91868
Tripura,2020,830.84,668.67,3816812,101974
Tripura,2021,908.68,723.66,3862613,100756
Tripura,2022,955.41,756.29,3908965,112798
Tripura,2023,994.6,785.8,3955872,120279
Tripura,2024,1055.79,828.95,4003343,126175
Tripura,2025,1046.52,842.91,4051383,133091
Tripura,2026,1129.52,925.62,4099999,140000
Uttar Pradesh,2017,1100.93,965.79,211078135,50339
Uttar Pradesh,2018,1026.88,913.49,213611073,54107
Uttar Pradesh,2019,1153.06,1054.94,216174406,52994
Uttar Pradesh,2020,1216.12,1085.74,218768499,59393
Uttar Pradesh,2021,1213.01,1080.06,221393721,64393
Uttar Pradesh,2022,1284.37,1156.51,224050445,65823
Uttar Pradesh,2023,1369.25,1234.33,226739051,70762
Uttar Pradesh,2024,1348.88,1191.53,229459919,75168
Uttar Pradesh,2025,1451.06,1344.09,232213438,79841
Uttar Pradesh,2026,1505.5,1341.11,235000000,85000
Uttarakhand,2017,2091.26,949.95,9880253,135311
Uttarakhand,2018,2304.8,1032.39,9998816,147668
Uttarakhand,2019,2163.12,952.86,10118801,160173
Uttarakhand,2020,2224.63,1012.8,10240227,156002
Uttarakhand,2021,2376.23,1072.92,10363110,167790
Uttarakhand,2022,2599.32,1179.91,10487467,179339
Uttarakhand,2023,2621.66,1164.0,10613317,194649
Uttarakhand,2024,2774.94,1261.99,10740677,206210
Uttarakhand,2025,2981.12,1318.74,10869565,216917
Uttarakhand,2026,2989.9,1345.42,11000000,230000
West Bengal,2017,1067.67,1032.03,88922278,83284
West Bengal,2018,1048.26,1004.8,89989345,96933
West Bengal,2019,1147.97,1084.8,91069217,97227
West Bengal,2020,1192.01,1135.31,92162048,101965
West Bengal,2021,1319.93,1248.29,93267993,109330
West Bengal,2022,1235.52,1174.87,94387209,122039
West Bengal,2023,1352.59,1286.0,95519855,126425
West Bengal,2024,1314.87,1254.62,96666093,135508
West Bengal,2025,1459.59,1359.94,97826086,141110
West Bengal,2026,1487.63,1411.92,99000000,150000
